sqlite-O0-x64.mv.db,/Users/landen/Research/bsim/bins/sqlite/sqlite3-O3.o-x64,0.0,0.9
sqlite3_vfs_find,sqlite3_vfs_find,0.38024786945782346,19.536648742957464
sqlite3_vfs_find,vfsUnlink,0.21979993225670313,7.510687499235913
sqlite3_vfs_find,sqlite3_realloc,0.21319672649792565,8.049423962885676
sqlite3_vfs_find,sqlite3_malloc,0.21029325894200693,7.830886324097997
sqlite3_vfs_find,sqlite3_malloc64,0.20642830633530312,6.846095284662523
sqlite3_vfs_register,vfsUnlink,0.2763037824832623,13.580890818715702
sqlite3_vfs_register,sqlite3_vfs_find,0.22391780392698346,10.204859019686536
sqlite3_vfs_register,sqlite3_vfs_register,0.2153226419271849,9.723373402215115
sqlite3_vfs_register,removeFromSharingList,0.17577202687147447,4.853039281413242
sqlite3_vfs_register,sqlite3_malloc,0.16317945808206422,5.00695360694411
sqlite3_vfs_unregister,vfsUnlink,0.28369568168541365,12.683496978002307
sqlite3_vfs_unregister,sqlite3_vfs_find,0.235467766060749,10.276253453139422
sqlite3_vfs_unregister,sqlite3_malloc,0.1829318960636983,6.239925779600858
sqlite3_vfs_unregister,removeFromSharingList,0.1739154208842635,3.9609348898953254
sqlite3_vfs_unregister,sqlite3_malloc64,0.16432682143789978,4.913085484580586
sqlite3_mutex_alloc,sqlite3_mutex_alloc,0.24849091366457815,8.896277207912103
sqlite3_mutex_alloc,codeOffset,0.13706497104212256,2.0039232207464766
sqlite3_mutex_alloc,sqlite3AbsInt32,0.13194807767713987,2.091008583611397
sqlite3_mutex_alloc,autoIncStep,0.12723156951375497,1.5605560166035124
sqlite3_mutex_alloc,jsonReplaceFunc,0.12575207903496222,1.8950079989346245
sqlite3_mutex_free,releasePage,0.32751711372052683,7.291217324635885
sqlite3_mutex_free,sqlite3PagerUnref,0.32751711372052683,7.291217324635885
sqlite3_mutex_free,sqlite3BackupUpdate,0.32751711372052683,7.291217324635885
sqlite3_mutex_free,sqlite3DbFree,0.32751711372052683,7.291217324635885
sqlite3_mutex_free,sqlite3ExprDelete,0.32751711372052683,7.291217324635885
sqlite3_mutex_try,releasePage,0.30689725702468873,7.13263961745406
sqlite3_mutex_try,sqlite3PagerUnref,0.30689725702468873,7.13263961745406
sqlite3_mutex_try,sqlite3BackupUpdate,0.30689725702468873,7.13263961745406
sqlite3_mutex_try,sqlite3DbFree,0.30689725702468873,7.13263961745406
sqlite3_mutex_try,sqlite3ExprDelete,0.30689725702468873,7.13263961745406
sqlite3_release_memory,columnNullValue,0.9999999999999998,8.275470337587358
sqlite3_release_memory,dotlockIoFinderImpl,0.9999999999999998,8.275470337587358
sqlite3_release_memory,jrnlBufferSize,0.9999999999999998,8.275470337587358
sqlite3_release_memory,memdbDeviceCharacteristics,0.9999999999999998,8.275470337587358
sqlite3_release_memory,memdbSync,0.9999999999999998,8.275470337587358
sqlite3_memory_alarm,columnNullValue,0.9999999999999998,8.275470337587358
sqlite3_memory_alarm,dotlockIoFinderImpl,0.9999999999999998,8.275470337587358
sqlite3_memory_alarm,jrnlBufferSize,0.9999999999999998,8.275470337587358
sqlite3_memory_alarm,memdbDeviceCharacteristics,0.9999999999999998,8.275470337587358
sqlite3_memory_alarm,memdbSync,0.9999999999999998,8.275470337587358
sqlite3_soft_heap_limit64,sqlite3_realloc,0.18399462141669348,6.4387430676371995
sqlite3_soft_heap_limit64,sqlite3_malloc,0.18148884929475562,6.219671208669252
sqlite3_soft_heap_limit64,sqlite3_vfs_register,0.18137893561000656,6.024480205429203
sqlite3_soft_heap_limit64,sqlite3_malloc64,0.17090969738662973,5.240471645378196
sqlite3_soft_heap_limit64,sqlite3_realloc64,0.16901636695689393,5.240471645378196
sqlite3_memory_used,sqlite3PcacheShutdown,0.6174676343585014,11.223052221674369
sqlite3_memory_used,sqlite3BeginBenignMalloc,0.4624231759928439,9.301456364871
sqlite3_memory_used,sqlite3EndBenignMalloc,0.4624231759928439,9.301456364871
