rust-stdlib-v1.80.mv.db,/Users/landen/Research/bsim/bins/bat-O3,0.0,0.0
std::sys_common::backtrace::output_filename,core::ptr::drop_in_place<std::sys::thread_local::fast_local::lazy::State<core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8_alloc::alloc::Global>>_alloc::alloc::Global>>>_()>>,0.269,9.694
std::sys_common::backtrace::_print_fmt::{closure#1}::{closure#0},std::path::PathBuf::_set_file_name,0.180,4.597
std::sys_common::backtrace::_print_fmt::{closure#1}::{closure#0},std::panicking::default_hook::{closure#1},0.195,7.351
std::sys_common::backtrace::_print_fmt::{closure#1}::{closure#0},std::sys_common::backtrace::_print_fmt::{closure#1},0.260,15.822
std::sys_common::backtrace::_print_fmt::{closure#1}::{closure#0},addr2line::addr2line::render_file<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>,0.205,8.598
std::sys_common::backtrace::_print_fmt::{closure#1}::{closure#0},std::sys_common::backtrace::_print_fmt::{closure#1}::{closure#0},0.966,155.943
std::sys_common::backtrace::_print_fmt::{closure#1},std::sys_common::backtrace::_print_fmt::{closure#1}::{closure#0},0.261,15.822
std::sys_common::backtrace::_print_fmt::{closure#1},std::env::fmt,0.262,9.510
std::sys_common::backtrace::_print_fmt::{closure#1},std::sys_common::backtrace::_print_fmt::{closure#1},1.000,68.125
std::sys_common::backtrace::_print_fmt::{closure#1},std::env::next,0.210,6.720
std::sys_common::backtrace::_print_fmt::{closure#1},core::fmt::fmt<core::option::Option<u8>>,0.218,6.138
std::sys_common::backtrace::_print_fmt::{closure#0},core::fmt::fmt,1.000,9.181
std::sys_common::backtrace::_print_fmt::{closure#0},core::fmt::fmt<std::backtrace::BacktraceSymbol>,1.000,9.181
std::sys_common::backtrace::_print_fmt::{closure#0},core::fmt::fmt<std::io::error::Error>,1.000,9.181
std::sys_common::backtrace::_print_fmt::{closure#0},core::fmt::fmt<std::backtrace::BytesOrWide>,1.000,9.181
std::sys_common::backtrace::_print_fmt::{closure#0},core::fmt::fmt<std::sys_common::wtf8::Wtf8>,1.000,9.181
std::sys_common::backtrace::_print::fmt,std::backtrace::fmt,0.263,14.513
std::sys_common::backtrace::_print::fmt,std::fs::next,0.205,6.801
std::sys_common::backtrace::_print::fmt,std::sys_common::backtrace::_print::fmt,0.943,76.990
std::sys_common::backtrace::_print::fmt,std::sys::pal::unix::process::process_common::Command::pre_exec,0.181,5.497
std::sys_common::backtrace::_print::fmt,std::sys_common::process::next,0.199,6.912
std::sys_common::backtrace::__rust_end_short_backtrace<std::panicking::begin_panic_handler::{closure_env#0}_!>,core::fmt::fmt<std::io::error::Error>,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace<std::panicking::begin_panic_handler::{closure_env#0}_!>,core::fmt::fmt,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace<std::panicking::begin_panic_handler::{closure_env#0}_!>,core::fmt::fmt<std::backtrace::BacktraceSymbol>,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace<std::panicking::begin_panic_handler::{closure_env#0}_!>,core::fmt::fmt<std::sys_common::wtf8::Wtf8>,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace<std::panicking::begin_panic_handler::{closure_env#0}_!>,core::fmt::fmt<std::backtrace::BytesOrWide>,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace,core::fmt::fmt<std::backtrace::BytesOrWide>,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace,core::fmt::fmt<std::backtrace::BacktraceSymbol>,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace,core::fmt::fmt<std::sys_common::wtf8::Wtf8>,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace,core::fmt::fmt<std::backtrace::BytesOrWide>,1.000,9.181
std::sys_common::backtrace::__rust_end_short_backtrace,core::fmt::fmt<std::sys_common::wtf8::Wtf8>,1.000,9.181
