/Users/landen/Research/bsim/bins/bat/arm/bat-O0,bat-O0.mv.db,0.0,0.9
"bat::input::Input::with_name::_{{closure}}","_<&&&&&&clap_builder::builder::value_parser::_AutoValueParser<P>as_clap_builder::builder::value_parser::via_prelude::_ValueParserViaFactory>::value_parser","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Debug>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Debug>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Debug>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Debug>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Debug>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Debug>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Debug>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Debug>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Debug>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Debug>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Debug>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Debug>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Display>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Display>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Display>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Display>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Display>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Display>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Display>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Display>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Display>::fmt","1.0","9.18110270091743"
"bat::input::Input::with_name::_{{closure}}","_<&T_as_core::fmt::Display>::fmt","1.0","9.18110270091743"
5 "bat::style::StyleComponentList::to_components","bat::style::StyleComponentList::to_components","1.0","41.9279090889467"
"bat::style::StyleComponentList::to_components","_<core::iter::adapters::filter::Filter<I,P>as_core::iter::traits::iterator::Iterator>::count","0.32239210656250233","8.777795226132898"
"bat::style::StyleComponentList::to_components","_<hashbrown::map::HashMap<K,V,S,A>as_core::iter::traits::collect::IntoIterator>::into_iter","0.3214411977304792","8.727644701950728"
"bat::style::StyleComponentList::to_components","_<hashbrown::map::HashMap<K,V,S,A>as_core::iter::traits::collect::IntoIterator>::into_iter","0.3214411977304792","8.727644701950728"
"bat::style::StyleComponentList::to_components","_<alloc::collections::btree::set::BTreeSet<T,A>as_core::iter::traits::collect::IntoIterator>::into_iter","0.314923785217509","8.31756894946248"
"bat::style::StyleComponentList::to_components","_<core::result::Result<T,F>as_core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual","0.314923785217509","8.31756894946248"
"bat::style::StyleComponentList::to_components","_<core::result::Result<T,F>as_core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual","0.314923785217509","8.31756894946248"
"bat::style::StyleComponentList::to_components","_<core::result::Result<T,F>as_core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual","0.314923785217509","8.31756894946248"
"bat::style::StyleComponentList::to_components","_<core::result::Result<T,F>as_core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual","0.314923785217509","8.31756894946248"
"bat::style::StyleComponentList::to_components","_<serde_json::map::Map<alloc::string::String,serde_json::value::Value>as_core::iter::traits::collect::IntoIterator>::into_iter","0.314923785217509","8.31756894946248"
"bat::style::StyleComponentList::to_components","regex_automata::nfa::thompson::error::BuildError::captures","0.3104682801870766","8.10270160117257"
